Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.128348,0.128906,0.128348,0.128348,0.1006,469033600
15/12/1980,0.12221,0.12221,0.121652,0.121652,0.095352,175884800
16/12/1980,0.113281,0.113281,0.112723,0.112723,0.088353,105728000
17/12/1980,0.115513,0.116071,0.115513,0.115513,0.09054,86441600
18/12/1980,0.118862,0.11942,0.118862,0.118862,0.093165,73449600
19/12/1980,0.126116,0.126674,0.126116,0.126116,0.098851,48630400
22/12/1980,0.132254,0.132813,0.132254,0.132254,0.103662,37363200
23/12/1980,0.137835,0.138393,0.137835,0.137835,0.108036,46950400
24/12/1980,0.145089,0.145647,0.145089,0.145089,0.113722,48003200
26/12/1980,0.158482,0.15904,0.158482,0.158482,0.124219,55574400
29/12/1980,0.160714,0.161272,0.160714,0.160714,0.125969,93161600
30/12/1980,0.157366,0.157366,0.156808,0.156808,0.122907,68880000
31/12/1980,0.152902,0.152902,0.152344,0.152344,0.119408,35750400
02/01/1981,0.154018,0.155134,0.154018,0.154018,0.12072,21660800
05/01/1981,0.151228,0.151228,0.15067,0.15067,0.118096,35728000
06/01/1981,0.144531,0.144531,0.143973,0.143973,0.112847,45158400
07/01/1981,0.138393,0.138393,0.137835,0.137835,0.108036,55686400
08/01/1981,0.135603,0.135603,0.135045,0.135045,0.105849,39827200
09/01/1981,0.142299,0.142857,0.142299,0.142299,0.111535,21504000
12/01/1981,0.142299,0.142299,0.141183,0.141183,0.11066,23699200
13/01/1981,0.136719,0.136719,0.136161,0.136161,0.106724,23049600
14/01/1981,0.136719,0.137277,0.136719,0.136719,0.107161,14291200
15/01/1981,0.139509,0.140625,0.139509,0.139509,0.109348,14067200
16/01/1981,0.138951,0.138951,0.138393,0.138393,0.108473,13395200
19/01/1981,0.146763,0.147321,0.146763,0.146763,0.115034,41574400
20/01/1981,0.142857,0.142857,0.142299,0.142299,0.111535,30083200
21/01/1981,0.145089,0.146205,0.145089,0.145089,0.113722,15904000
22/01/1981,0.146763,0.147879,0.146763,0.146763,0.115034,35548800
23/01/1981,0.146763,0.147321,0.146205,0.146205,0.114597,11222400
26/01/1981,0.144531,0.144531,0.143973,0.143973,0.112847,24640000
27/01/1981,0.143973,0.143973,0.142857,0.142857,0.111972,23699200
28/01/1981,0.138951,0.138951,0.138393,0.138393,0.108473,28156800
29/01/1981,0.133929,0.133929,0.133371,0.133371,0.104537,43904000
30/01/1981,0.127232,0.127232,0.126116,0.126116,0.098851,46188800
02/02/1981,0.11942,0.11942,0.118862,0.118862,0.093165,23766400
03/02/1981,0.123326,0.123884,0.123326,0.123326,0.096664,19152000
04/02/1981,0.12779,0.128348,0.12779,0.12779,0.100163,27865600
05/02/1981,0.12779,0.128906,0.12779,0.12779,0.100163,7929600
06/02/1981,0.128348,0.128906,0.128348,0.128348,0.1006,13865600
09/02/1981,0.122768,0.122768,0.121652,0.121652,0.095352,16755200
10/02/1981,0.121652,0.12221,0.121652,0.121652,0.095352,18345600
11/02/1981,0.118304,0.118304,0.117746,0.117746,0.09229,13843200
12/02/1981,0.117188,0.117188,0.116629,0.116629,0.091415,14560000
13/02/1981,0.114955,0.114955,0.113839,0.113839,0.089228,11155200
17/02/1981,0.116629,0.117188,0.116629,0.116629,0.091415,12275200
18/02/1981,0.121652,0.122768,0.121652,0.121652,0.095352,19241600
19/02/1981,0.114955,0.114955,0.114397,0.114397,0.089665,22310400
20/02/1981,0.108817,0.108817,0.108259,0.108259,0.084854,24371200
23/02/1981,0.109933,0.110491,0.109933,0.109933,0.086166,14112000
24/02/1981,0.107143,0.107143,0.106027,0.106027,0.083105,16979200
25/02/1981,0.112723,0.113281,0.112723,0.112723,0.088353,19488000
26/02/1981,0.114397,0.114955,0.114397,0.114397,0.089665,10841600
27/02/1981,0.118304,0.11942,0.118304,0.118304,0.092727,14761600
02/03/1981,0.118862,0.11942,0.118862,0.118862,0.093165,11760000
03/03/1981,0.117746,0.117746,0.117188,0.117188,0.091853,16172800
04/03/1981,0.116629,0.116629,0.116071,0.116071,0.090977,13708800
05/03/1981,0.116071,0.116071,0.115513,0.115513,0.09054,5376000
06/03/1981,0.115513,0.115513,0.114397,0.114397,0.089665,11603200
09/03/1981,0.106027,0.106027,0.105469,0.105469,0.082667,15321600
10/03/1981,0.101004,0.101004,0.100446,0.100446,0.07873,28380800
11/03/1981,0.097656,0.097656,0.09654,0.09654,0.075669,29859200
12/03/1981,0.100446,0.101004,0.100446,0.100446,0.07873,59248000
13/03/1981,0.099888,0.099888,0.09933,0.09933,0.077856,231302400
16/03/1981,0.103237,0.104353,0.103237,0.103237,0.080918,37228800
17/03/1981,0.108259,0.109375,0.108259,0.108259,0.084854,43747200
18/03/1981,0.114955,0.116071,0.114955,0.114955,0.090103,36937600
19/03/1981,0.114397,0.114397,0.113839,0.113839,0.089228,37811200
20/03/1981,0.114955,0.116071,0.114955,0.114955,0.090103,14604800
23/03/1981,0.11942,0.120536,0.11942,0.11942,0.093602,22019200
24/03/1981,0.11942,0.11942,0.118862,0.118862,0.093165,28156800
25/03/1981,0.117746,0.117746,0.116629,0.116629,0.091415,7056000
26/03/1981,0.114955,0.114955,0.114397,0.114397,0.089665,12275200
27/03/1981,0.111049,0.111049,0.110491,0.110491,0.086604,12252800
30/03/1981,0.110491,0.111607,0.110491,0.110491,0.086604,9900800
31/03/1981,0.110491,0.110491,0.109375,0.109375,0.085729,15993600
01/04/1981,0.108817,0.108817,0.108259,0.108259,0.084854,34070400
02/04/1981,0.117746,0.118304,0.117746,0.117746,0.09229,31404800
03/04/1981,0.118304,0.118862,0.118304,0.118304,0.092727,16486400
06/04/1981,0.116629,0.116629,0.116071,0.116071,0.090977,22803200
07/04/1981,0.115513,0.115513,0.114955,0.114955,0.090103,10684800
08/04/1981,0.120536,0.121652,0.120536,0.120536,0.094477,21952000
09/04/1981,0.122768,0.123326,0.122768,0.122768,0.096226,12499200
10/04/1981,0.124442,0.125,0.124442,0.124442,0.097538,33465600
13/04/1981,0.124442,0.125,0.124442,0.124442,0.097538,16060800
14/04/1981,0.124442,0.125,0.124442,0.124442,0.097538,6652800
15/04/1981,0.118862,0.118862,0.118304,0.118304,0.092727,34048000
16/04/1981,0.112165,0.112165,0.111607,0.111607,0.087478,23878400
20/04/1981,0.114955,0.115513,0.114955,0.114955,0.090103,35347200
21/04/1981,0.122768,0.123326,0.122768,0.122768,0.096226,28537600
22/04/1981,0.127232,0.12779,0.127232,0.127232,0.099725,18995200
23/04/1981,0.13058,0.131138,0.13058,0.13058,0.10235,58016000
